CITY,NAME,CTB_NAME,CTB_GENDER_USAGE,MEN,SEAT_NOT_IN_USE_1,COUNT_1,WOMEN,SEAT_NOT_IN_USE_2,COUNT_2,MIX,SEAT_NOT_IN_USE_3,COUNT_3
BELAPUR,"RAHUL NAGAR,BELAPUR",1,,CLOSED,,,,,,,,
BELAPUR,"RAMAMATA AMBEDKAR NAGAR,B",1,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,0,8,,,
BELAPUR ,"RAMAMATA AMBEDKAR NAGAR,B",2,DEDICATED SEATS FOR MEN AND WOMEN,17,0,17,15,1,14,,,
BELAPUR ,"RAMAMATA AMBEDKAR NAGAR,B",3,,CLOSED,,,,,,,,
TURBHE,"GANPATI PADA,TURBHE",1,DEDICATED SEATS FOR MEN AND WOMEN,10,0,10,10,0,10,,,
KOPAR KHAIRANE,"SAMBHAJI NAGAR,KOPAR KHAI",1,MIX,,,,,,,4,0,4
KOPAR KHAIRANE,"SAMBHAJI NAGAR,KOPAR KHAI",2,MIX,,,,,,,4,0,4
KOPAR KHAIRANE,"HANUMAN NAGAR,KOPAR KHAIR
",1,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,0,8,,,
KOPAR KHAIRANE,"HANUMAN NAGAR,KOPAR KHAIR
",2,DEDICATED SEATS FOR MEN AND WOMEN,5,0,5,4,0,4,,,
KOPAR KHAIRANE,"HANUMAN NAGAR,KOPAR KHAIR
",3,DEDICATED SEATS FOR MEN AND WOMEN,4,0,4,4,0,4,,,
KOPAR KHAIRANE,"HANUMAN NAGAR,KOPAR KHAIR
",4,,CLOSED,,,,,,,,
KOPAR KHAIRANE,"SHRAMIK NAGAR,KOPAR KHAIR",1,DEDICATED SEATS FOR MEN AND WOMEN,5,0,5,5,0,5,,,
KOPAR KHAIRANE,"SHRAMIK NAGAR,KOPAR KHAIR",2,DEDICATED SEATS FOR MEN AND WOMEN,10,0,10,10,0,10,,,
KOPAR KHAIRANE,"SHRAMIK NAGAR,KOPAR KHAIR",3,DEDICATED SEATS FOR MEN AND WOMEN,4,0,4,4,0,4,,,
KOPAR KHAIRANE,"SHRAMIK NAGAR,KOPAR KHAIR",4,DEDICATED SEATS FOR MEN AND WOMEN,5,0,5,5,0,5,,,
KOPAR KHAIRANE,"SHRAMIK NAGAR,KOPAR KHAIR",5,DEDICATED SEATS FOR MEN AND WOMEN,5,0,5,5,0,5,,,
DIGHA,"SANJAY GANDHI NAGAR,DIGHA",1,MIX,,,,,,,8,0,8
DIGHA,"SANJAY GANDHI NAGAR,DIGHA",2,MIX,,,,,,,16,1,15
DIGHA,"SANJAY GANDHI NAGAR,DIGHA",3,MIX,,,,,,,16,0,16
